vendor, program
Hitachi,Cosminexus Client
Hitachi,Cosminexus Developer
Hitachi,Cosminexus Developer's Kit for Java
Hitachi,Cosminexus HTTP Server
Hitachi,Cosminexus Primary Operator for Service
Hitachi,Cosminexus Primary Server
Hitachi,Cosminexus Service
Hitachi,Cosminexus V11
Hitachi,Cosminexus V9
Hitachi,Device Manager
Hitachi,Dynamic Link Manager
Hitachi,Global Link Manager
Hitachi,Hitachi Application Server
Hitachi,Hitachi Application Server for Developers
Hitachi,Hitachi Automation Director
Hitachi,Hitachi Compute Systems Manager
Hitachi,Hitachi Configuration Manager
Hitachi,Hitachi Device Manager
Hitachi,Hitachi Dynamic Link Manager
Hitachi,Hitachi Global Link Manager
Hitachi,Hitachi Infrastructure Analytics Advisor
Hitachi,Hitachi Ops Center
Hitachi,Hitachi Ops Center API Configuration Manager
Hitachi,Hitachi Ops Center Administrato
Hitachi,Hitachi Ops Center Administrator
Hitachi,Hitachi Ops Center Analyzer
Hitachi,Hitachi Ops Center Analyzer viewpoint
Hitachi,Hitachi Ops Center Automator
Hitachi,Hitachi Ops Center Common Service
Hitachi,Hitachi Ops Center Common Services
Hitachi,Hitachi Ops Center Viewpoint
Hitachi,Hitachi Replication Manager
Hitachi,Hitachi Tiered Storage Manager
Hitachi,Hitachi Tuning Manager
Hitachi,Hitachi Tuning Manager - Agent for NAS
Hitachi,Hitachi Tuning Manager - Agent for Network Attached Storage
Hitachi,Hitachi Tuning Manager - Agent for RAID
Hitachi,Hitachi Tuning Manager - Agent for SAN Switch
Hitachi,Hitachi Tuning Manager server
Hitachi,Hitachi Web Server
Hitachi,Host Data Collector
Hitachi,Infrastructure Analytics Advisor
Hitachi,JP1/Automatic Operation
Hitachi,JP1/Data Highway - Server
Hitachi,JP1/Data Highway - Server Starter Edition
Hitachi,JP1/IT Desktop Management
Hitachi,JP1/IT Desktop Management - Manager
Hitachi,JP1/IT Desktop Management 2
Hitachi,JP1/IT Desktop Management 2 - Manager
Hitachi,JP1/IT Desktop Management 2 - Operations Director
Hitachi,JP1/ITDM2-SDM
Hitachi,JP1/Operations Analytics
Hitachi,Job Management Partner 1/IT Desktop Management - Manager
Hitachi,Job Management Partner 1/IT Desktop Management 2 - Manager
Hitachi,Ops Center API Configuration Manager
Hitachi,Ops Center Administrator
Hitachi,Ops Center Analyzer
Hitachi,Ops Center Analyzer viewpoint
Hitachi,Ops Center Analyzer viewpoint OVF
Hitachi,Ops Center Automator
Hitachi,Ops Center Common Services
Hitachi,Ops Center Viewpoint
Hitachi,PCM600
Hitachi,RAID Agent
Hitachi,Replication Manager
Hitachi,SDM600
Hitachi,Tiered Storage Manager
Hitachi,Tuning Manager
Hitachi,Tuning Manager - Agent for NAS
Hitachi,Tuning Manager - Agent for RAID
Hitachi,Tuning Manager - Agent for SAN Switch
Hitachi,Viewpoint
Hitachi,Viewpoint RAID Agent
Hitachi,Viewpoint data center proxy
Hitachi,Virtual Storage Platform
Hitachi,Virtual Storage Platform 5
Hitachi,Virtual Storage Software Agent
Hitachi,uCosminexus Application Runtime
Hitachi,uCosminexus Application Runtime with Java for Apache Tomcat
Hitachi,uCosminexus Application Runtime with Java for Spring Boot
Hitachi,uCosminexus Application Server
Hitachi,uCosminexus Application Server-R
Hitachi,uCosminexus Client
Hitachi,uCosminexus Developer
Hitachi,uCosminexus Operator for Service Platform
Hitachi,uCosminexus Primary Server Base
Hitachi,uCosminexus Service Architect
Hitachi,uCosminexus Service Platform
Honeywell,C300
Honeywell,Experion LX
Honeywell,Experion PKS
Honeywell,Experion PlantCruise
Honeywell,INNControl 3
Honeywell,Matrikon
Honeywell,SoftMaster
Honeywell,Voice Console
Honeywell,WIN-PAK
Horner Automation,Cscape
Hughes Network,WL3000 Fusion
IADGOV,GRASSMARLIN
IBA,ibaPDA
IBM,AIX
IBM,App Connect Enterprise Certified Container
IBM,FreeType
IBM,IBM WebSphere Application Server
IBM,VIOS
IBM,WebSphere Automation
IBM,sudo
ICONICS,AnalytiX
ICONICS,GENESIS
ICONICS,GENESIS32
ICONICS,GENESIS64
ICONICS,Hyper Historian
ICONICS,ICONICS
ICONICS,ICONICS AnalytiX
ICONICS,ICONICS BizViz
ICONICS,ICONICS GENESIS32
ICONICS,ICONICS GENESIS64
ICONICS,ICONICS Hyper Historian
ICONICS,ICONICS Hyper Historian Collector
ICONICS,ICONICS IoTWorX
ICONICS,ICONICS MobileHMI
ICONICS,ICONICS Multimedia Alarming
ICONICS,ICONICS Suite
ICONICS,ICONICS Workbench
ICONICS,IoTWorX
ICONICS,MC Works64
ICONICS,MobileHMI
ICONICS,Suite
IDEC Corporation,WindLDR
IDEC Corporation,WindO/I-NV4
IIT,Reacts
INFINITT,PACS
Iagona,ScrutisWeb
Idis,ICM Viewer
Ignite Realtime,Openfire
Igor Pavlov,7-Zip
ImageMagick,ImageMagick
Inductive Automation,Ignition
Industrial Control Links,ScadaFlex
Inosoft,VisiWin 7
Intel,Chipset Device Software
Intel,Intel(R) Chipset Device Software
Intel,System Usage Report
Intrado,911 Emergency Gateway
Intrado,EGW
Intrado,Emergency Gateway
Ivanti,Cloud Services Appliance
Ivanti,Cloud Services Application
Ivanti,Connect Secure
Ivanti,EPMM
Ivanti,Endpoint Manager
Ivanti,Endpoint Manager Mobile
Ivanti,Ivanti Application Control
Ivanti,Ivanti Avalanche
Ivanti,Ivanti Connect Secure
Ivanti,Ivanti End Point Management
Ivanti,Ivanti Endpoint Manager
Ivanti,Ivanti Neurons for ITSM
Ivanti,Ivanti Policy Secure
Ivanti,Ivanti Secure Access Client
Ivanti,Ivanti Security Controls
Ivanti,Ivanti Virtual Traffic Manager
Ivanti,Ivanti epm
Ivanti,Neurons for Secure Access
Ivanti,Neurons for ZTA
Ivanti,Policy Secure
Ivanti,Pulse Connect Secure
Ivanti,Sentry
Ivanti,Standalone Sentry
Ivanti,ZTA Gateways
Ivanti,endpoint manager mobile
Ivanti,pulse application launcher
JAVS,JVS Viewer
Janitza,GridVis
Jenkins,Jenkins
Jenkins,Jenkins LTS
JetBrains,JetBrains
JetBrains,JetBrains TeamCity
JetBrains,TeamCity
Johnson Controls,AC2000
Johnson Controls,American Dynamics victor Video Management
Johnson Controls,American Dynamics victor Web Client
Johnson Controls,C CURE 9000
Johnson Controls,C CURE Web Client
Johnson Controls,CEVAS
Johnson Controls,Controller Configuration Tool
Johnson Controls,Entrapass
Johnson Controls,Johnson Controls - Controller Configuration Tool
Johnson Controls,Johnson Controls - Metasys System Configuration Tool
Johnson Controls,Kantech EntraPass Corporate Edition
Johnson Controls,Kantech EntraPass Editions
Johnson Controls,Kantech EntraPass Global Edition
Johnson Controls,MRE
Johnson Controls,Metasys ADS
Johnson Controls,Metasys ADX
Johnson Controls,Metasys Controller Configuration Tool
Johnson Controls,Metasys MVE
Johnson Controls,Metasys OAS
Johnson Controls,Metasys ODS
Johnson Controls,Metasys UL/cUL 864 UUKL 10th Edition
Johnson Controls,NxE25
Johnson Controls,NxE35
Johnson Controls,NxE45
Johnson Controls,ODS
Johnson Controls,OpenBlue Enterprise Manager
Johnson Controls,OpenBlue Workplace Mobile Web
Johnson Controls,PowerManage
Johnson Controls,SCT
Johnson Controls,SCT Pro
Johnson Controls,System Configuration Tool
Johnson Controls,VideoEdge
Johnson Controls,airCloud
Johnson Controls,exacqVision Client
Johnson Controls,exacqVision Enterprise Manager
Johnson Controls,exacqVision Server
Johnson Controls,exacqVision Web Service
Johnson Controls,iSTAR Configuration Utility
Johnson Controls,metasys server
Johnson Controls,victor
Joomla,Joomla
Jtekt Electronics,Kostac PLC
Juniper Networks,ScreenOS
Juniper Networks,Session Smart Conductor
Juniper Networks,Session Smart Router
Kentico,Kentico Xperience
Kentico,Xperience
Kepware,KEPServerEX 6
Kepware,KepServerEX
Keysight Technologies,Geolocation Server
Keysight Technologies,Ixia Vision
Kibana,Kibana
Kingsoft,WPS Office
Korenix Technologies,2111
Korenix Technologies,2111L
Korenix Technologies,2112S
Korenix Technologies,2114
Korenix Technologies,2211C
Korenix Technologies,2212G
Korenix Technologies,2212X
Korenix Technologies,2411
Korenix Technologies,2411L
Korenix Technologies,2414
Korenix Technologies,2424
Korenix Technologies,2460
Korenix Technologies,3220 V3
Korenix Technologies,3420 V3
Korenix Technologies,4221 HP-E
Kubernetes,ingress-nginx
LCDS,LAquis SCADA
LONAP,MRLG
Langflow,langflow
Lantronix,Device Installer
Lantronix,Provisioning Manager
Laravel,Ignition
Laurel Bridge,DCF
Libraesva,ESG
Libraesva,Email Security Gateway
Liebert,Environet
Liebert,Multilink
Liebert,SiteScan
Linux,Kernel
Linux,Linux Kernel
Linux,bash
Linux,linux kernel for linux
Linux,netfilter
Linux,sudo
Linux,telnet
MAXHUB,Pivot
MB Connect Line Fernwartungssysteme,REX 200
MB Connect Line Fernwartungssysteme,REX 250
MB Connect Line Fernwartungssysteme,mbCONNECT24
MB Connect Line Fernwartungssysteme,mbNET
MB Connect Line Fernwartungssysteme,myREX24
MDT Software,A4SP
MDT Software,MDT AutoSave
MDaemon,Email Server
MICROSENS,NMP Web+
MariaDB,MariaDB
Marimo,marimo
MatrikonOPC,Matrikon OPC UA Tunneller
Medixant,RadiAnt DICOM Viewer
MegaSys Computer Technologies,Telenium Online Web
Mendix,Mendix
Mendix,Mendix Runtime
Mendix,Runtime
Mendix,mendix
Meta,react-native-community/cli
Meta,react-server-dom-parcel
Meta,react-server-dom-turbopack
Meta,react-server-dom-webpack
MicroDicom,MicroDicom DICOM Viewer
MicroDicom,MicroDicom DICOM viewer
Microsoft,.NET
Microsoft,365 Apps for Enterprise
Microsoft,Azure Automation State Configuration
Microsoft,Azure Automation Update Management
Microsoft,Azure Diagnostics (LAD)
Microsoft,Azure Kubernetes Service Confidential Containers
Microsoft,Azure Security Center
Microsoft,Azure Sentinel
Microsoft,Azure Stack Hub
Microsoft,Confluence SAML SSO Plugin
Microsoft,Confluence SAML Single-Sign-On Plugin
Microsoft,Container Monitoring Solution
Microsoft,Edge
Microsoft,Entra Jira SSO Plugin
Microsoft,Entra Jira Single-Sign-On Plugin
Microsoft,Excel 2000
Microsoft,Excel 2002
Microsoft,Excel 2003
Microsoft,Excel 2007
Microsoft,Excel Viewer 2003
Microsoft,Exchange Server 2013
Microsoft,Exchange Server 2016
Microsoft,Exchange Server 2019
Microsoft,GitHub Copilot Plugin for JetBrains IDEs
Microsoft,HEVC
Microsoft,Internet Explorer
Microsoft,Log Analytics Agent
Microsoft,Managed Windows Defender
Microsoft,Microsoft 365
Microsoft,Microsoft 365 Apps for Enterprise
Microsoft,Microsoft Azure Site Recovery
Microsoft,Microsoft Configuration Manager
Microsoft,Microsoft Entra Jira Single-Sign-On Plugin
Microsoft,Microsoft Excel 2000
Microsoft,Microsoft Excel 2004
Microsoft,Microsoft Excel XP
Microsoft,Microsoft Exchange Server 2010 Service Pack 3 Update Rollup 30
Microsoft,Microsoft Exchange Server 2013 Cumulative Update 23
Microsoft,Microsoft Exchange Server 2016
Microsoft,Microsoft Exchange Server 2016 Cumulative Update 1
Microsoft,Microsoft Exchange Server 2016 Cumulative Update 10
Microsoft,Microsoft Exchange Server 2016 Cumulative Update 11
Microsoft,Microsoft Exchange Server 2016 Cumulative Update 12
Microsoft,Microsoft Exchange Server 2016 Cumulative Update 13
Microsoft,Microsoft Exchange Server 2016 Cumulative Update 14
Microsoft,Microsoft Exchange Server 2016 Cumulative Update 15
Microsoft,Microsoft Exchange Server 2016 Cumulative Update 16
Microsoft,Microsoft Exchange Server 2016 Cumulative Update 17
Microsoft,Microsoft Exchange Server 2016 Cumulative Update 18
Microsoft,Microsoft Exchange Server 2016 Cumulative Update 19
Microsoft,Microsoft Exchange Server 2016 Cumulative Update 2
Microsoft,Microsoft Exchange Server 2016 Cumulative Update 20
Microsoft,Microsoft Exchange Server 2016 Cumulative Update 21
Microsoft,Microsoft Exchange Server 2016 Cumulative Update 22
Microsoft,Microsoft Exchange Server 2016 Cumulative Update 23
Microsoft,Microsoft Exchange Server 2016 Cumulative Update 3
Microsoft,Microsoft Exchange Server 2016 Cumulative Update 4
Microsoft,Microsoft Exchange Server 2016 Cumulative Update 5
Microsoft,Microsoft Exchange Server 2016 Cumulative Update 6
Microsoft,Microsoft Exchange Server 2016 Cumulative Update 7
Microsoft,Microsoft Exchange Server 2016 Cumulative Update 8
Microsoft,Microsoft Exchange Server 2016 Cumulative Update 9
Microsoft,Microsoft Exchange Server 2019
Microsoft,Microsoft Exchange Server 2019 Cumulative Update 1
Microsoft,Microsoft Exchange Server 2019 Cumulative Update 10
Microsoft,Microsoft Exchange Server 2019 Cumulative Update 11
Microsoft,Microsoft Exchange Server 2019 Cumulative Update 12
Microsoft,Microsoft Exchange Server 2019 Cumulative Update 13
Microsoft,Microsoft Exchange Server 2019 Cumulative Update 14
Microsoft,Microsoft Exchange Server 2019 Cumulative Update 15
Microsoft,Microsoft Exchange Server 2019 Cumulative Update 2
Microsoft,Microsoft Exchange Server 2019 Cumulative Update 3
Microsoft,Microsoft Exchange Server 2019 Cumulative Update 4
Microsoft,Microsoft Exchange Server 2019 Cumulative Update 5
Microsoft,Microsoft Exchange Server 2019 Cumulative Update 6
Microsoft,Microsoft Exchange Server 2019 Cumulative Update 7
Microsoft,Microsoft Exchange Server 2019 Cumulative Update 8
Microsoft,Microsoft Exchange Server 2019 Cumulative Update 9
Microsoft,Microsoft Exchange Server Subscription Edition
Microsoft,Microsoft Exchange Server Subscription Edition RTM
Microsoft,Microsoft Office 2003 Service Pack 3
Microsoft,Microsoft Office 2007 Service Pack 2
Microsoft,Microsoft Office 2007 Service Pack 3
Microsoft,Microsoft Office 2010 Service Pack 1
Microsoft,Microsoft Office 2016 (32-bit edition)
Microsoft,Microsoft Office 2019
Microsoft,Microsoft Office 2019 for 32-bit editions
Microsoft,Microsoft Office 2019 for 64-bit editions
Microsoft,Microsoft Office Excel 2003
Microsoft,Microsoft Office Home and Business 2019
Microsoft,Microsoft Office Home and Student 2019
Microsoft,Microsoft Office LTSC
Microsoft,Microsoft Office LTSC 2021
Microsoft,Microsoft Office LTSC 2021 for 32-bit editions
Microsoft,Microsoft Office LTSC 2021 for 64-bit editions
Microsoft,Microsoft Office LTSC 2024
Microsoft,Microsoft Office LTSC Professional Plus 2021
Microsoft,Microsoft Office LTSC Standard 2021
Microsoft,Microsoft Office LTSC Standard 2024
Microsoft,Microsoft Office Profesional Plus 2019
Microsoft,Microsoft Office Professional 2019
Microsoft,Microsoft Office Publisher 2016
Microsoft,Microsoft Office Standard 2019
Microsoft,Microsoft Project 2016
Microsoft,Microsoft Project Professional 2016
Microsoft,Microsoft Project Standard 2016
Microsoft,Microsoft Publisher 2016
Microsoft,Microsoft SQL Server 2012
Microsoft,Microsoft SQL Server 2014
Microsoft,Microsoft SQL Server 2016
Microsoft,Microsoft SharePoint Enterprise Server 2016
Microsoft,Microsoft SharePoint Server 2019
Microsoft,Microsoft SharePoint Server Subscription Edition
Microsoft,Office 2003
Microsoft,Office 2007
Microsoft,Office 2010
Microsoft,Office 2016
Microsoft,Open Management Infrastructure
Microsoft,Partner Center
Microsoft,PowerPoint 2000
Microsoft,PowerPoint 2002
Microsoft,PowerPoint 2003
Microsoft,PowerPoint 2004
Microsoft,SCOM
Microsoft,SQL Server 2016 Service Pack 3 Azure
Microsoft,SQL Server 2016 Service Pack 3 GDR
Microsoft,SQL Server 2017 CU31
Microsoft,SQL Server 2017 GDR
Microsoft,SQL Server 2019 CU32
Microsoft,SQL Server 2022 CU23
Microsoft,SQL Server 2022 GDR
Microsoft,SQL Server 2025 CU2
Microsoft,SQL Server 2025 GDR
Microsoft,SharePoint Enterprise Server 2016
Microsoft,SharePoint Foundation 2013
Microsoft,SharePoint Server 2010
Microsoft,SharePoint Server 2013
Microsoft,SharePoint Server 2019
Microsoft,SharePoint Server Subscription Edition
Microsoft,Skype
Microsoft,System Center Operations Manager
Microsoft,System Center Operations Manager (SCOM) 2019
Microsoft,System Center Operations Manager (SCOM) 2022
Microsoft,Video ActiveX
Microsoft,Visual Basic for Applications
Microsoft,Windows Admin Center
Microsoft,Word
Microsoft,Wordpad
Microsoft,edge chromium-based
Microsoft,edge updater
Microsoft,microsoft office home and student 2019
Microsoft,microsoft office standard 2019
Microsoft,project 2016
Microsoft,sharepoint server
Microsoft,streaming service
MinIO,MinIO
Mitel,MiCollab
Mitsubishi,AnalytiX
Mitsubishi,AppPortal
Mitsubishi,C Controller Interface Module Utility
Mitsubishi,C Controller Interface Module utility
Mitsubishi,C Controller Module Setting and Monitoring Tool
Mitsubishi,CC-Link IE Control Network Data Collector
Mitsubishi,CC-Link IE Controller Network Interface Board software package
Mitsubishi,CC-Link IE Field Network Data Collector
Mitsubishi,CC-Link IE Field Network Interface Board software package
Mitsubishi,CC-Link IE TSN Industrial Managed Switch
Mitsubishi,CC-Link System Master/Local Interface Board software package
Mitsubishi,CPU Module Logging Configuration Tool
Mitsubishi,CW Configurator
Mitsubishi,Data Transfer
Mitsubishi,Data Transfer Classic
Mitsubishi,EZSocket
Mitsubishi,Easysocket
Mitsubishi,EeasySocket
Mitsubishi,Energy Saving Data Collecting Server (EcoWebServerIII)
Mitsubishi,Ezsocket
Mitsubishi,FCSB1224
Mitsubishi,FR Configurator
Mitsubishi,FR Configurator SW3
Mitsubishi,FR Configurator2
Mitsubishi,FREQSHIP-mini for Windows
Mitsubishi,FX5-OPC
Mitsubishi,GENESIS
Mitsubishi,GENESIS64
Mitsubishi,GOT2000
Mitsubishi,GT Designer2 Classic
Mitsubishi,GT Designer3
Mitsubishi,GT Designer3 (GOT 1000)
Mitsubishi,GT Designer3 (GOT 2000)
Mitsubishi,GT Designer3 (GOT1000)
Mitsubishi,GT Designer3 (GOT2000)
Mitsubishi,GT Designer3 Version1
Mitsubishi,GT Designer3 Version1 (GOT1000)
Mitsubishi,GT Designer3 Version1 (GOT2000)
Mitsubishi,GT SoftGOT 2000
Mitsubishi,GT SoftGOT1000
Mitsubishi,GT SoftGOT1000 Version3
Mitsubishi,GT SoftGOT2000
Mitsubishi,GT SoftGOT2000 Version1
Mitsubishi,GX Configurator-DP
Mitsubishi,GX Configurator-QP
Mitsubishi,GX Developer
Mitsubishi,GX Explorer
Mitsubishi,GX IEC Developer
Mitsubishi,GX LogViewer
Mitsubishi,GX RemoteService-I
Mitsubishi,GX Works2
Mitsubishi,GX Works3
Mitsubishi,Hyper Historian
Mitsubishi,ICONICS
Mitsubishi,MC Works64
Mitsubishi,MELFA-Works
Mitsubishi,MELSEC WinCPU Setting Utility
Mitsubishi,MELSECNET/H Interface Board software package
Mitsubishi,MELSOFT Complete Clean Up Tool
Mitsubishi,MELSOFT EM Software Development Kit
Mitsubishi,MELSOFT EM Software Development Kit (EM Configurator)
Mitsubishi,MELSOFT FieldDeviceConfigurato
Mitsubishi,MELSOFT FieldDeviceConfigurator
Mitsubishi,MELSOFT GT OPC UA Client
Mitsubishi,MELSOFT MC Works64
Mitsubishi,MELSOFT Navigator
Mitsubishi,MELSOFT Update Manager
Mitsubishi,MELSOFT iQ AppPortal
Mitsubishi,MH11 SettingTool Version2
Mitsubishi,MI Configurator
Mitsubishi,MILCO.S
Mitsubishi,MILCO.S Setting Application
Mitsubishi,MR Configurator
Mitsubishi,MR Configurator2
Mitsubishi,MR-MQ100
Mitsubishi,MRZJW3-MC2-UTL
Mitsubishi,MS Configurator
Mitsubishi,MT Works2
Mitsubishi,MTConnect Data Collector
Mitsubishi,MX Component
Mitsubishi,MX MESInterface
Mitsubishi,MX MESInterface-R
Mitsubishi,MX OPC Server
Mitsubishi,MX OPC Server DA/UA
Mitsubishi,MX OPC Server UA
Mitsubishi,MX OPC UA Module Configurator-R
Mitsubishi,MX Sheet
Mitsubishi,M_CommDTM-HART
Mitsubishi,M_CommDTM-IO-Link
Mitsubishi,MaiLab
Mitsubishi,Mitsubishi Electric CNC communication software runtime library
Mitsubishi,Mitsubishi Electric Numerical Control Device Communication Software
Mitsubishi,MobileHMI
Mitsubishi,Motion Control Setting
Mitsubishi,Motorizer
Mitsubishi,NC Analyzer
Mitsubishi,NC Analyzer2
Mitsubishi,NC Configurator2
Mitsubishi,NC Designer
Mitsubishi,NC Designer2
Mitsubishi,NC Explorer
Mitsubishi,NC Monitor
Mitsubishi,NC Monitor2
Mitsubishi,NC Trainer
Mitsubishi,NC Trainer plus
Mitsubishi,NC Trainer2
Mitsubishi,NC Trainer2 plus
Mitsubishi,NC Virtual Simulator
Mitsubishi,NC Visualizer
Mitsubishi,Navigator
Mitsubishi,Network Interface Board CC IE Control Utility
Mitsubishi,Network Interface Board CC IE Control utility
Mitsubishi,Network Interface Board CC IE Field Utility
Mitsubishi,Network Interface Board CC-Link Ver.2 Utility
Mitsubishi,Network Interface Board MNETH Utility
Mitsubishi,Network Interface Board MNETH utility
Mitsubishi,OPC UA Data Collector
Mitsubishi,OPC UA Server Unit
Mitsubishi,PX Developer
Mitsubishi,Position Board utility 2
Mitsubishi,RT ToolBox2
Mitsubishi,RT ToolBox3
Mitsubishi,RT VisualBox
Mitsubishi,Remote Monitor Tool
Mitsubishi,SLMP Data Collector
Mitsubishi,SW0DNC-MNETH-B
Mitsubishi,SW1DNC-CCBD2-B
Mitsubishi,SW1DNC-CCIEF-B
Mitsubishi,SW1DNC-CCIEF-J
Mitsubishi,SW1DNC-MNETG-B
Mitsubishi,SW1DNC-QSCCF-B
Mitsubishi,SW1DND-EMSDK-B
Mitsubishi,SW3PVC-CCPU
Mitsubishi,SW4PVC-CCPU
Mitsubishi,Setting/monitoring tools for the C Controller module
Mitsubishi,SoftGOT2000
Molt,OpenClaw
MongoDB,mongodb
Moxa,IOadmin
Moxa,IOxpress
Moxa,MXView
Moxa,MXsecurity
Moxa,MXview Network Management
Moxa,MXview One
Moxa,MXview One Central Manager
Mozilla,Firefox
Mozilla,Mozilla FireFox
Mozilla,Mozilla Firefox
Mozilla,Mozilla Firefox ESR
Mozilla,Mozilla Thunderbird
Mozilla,SeaMonkey
Mozilla,Thunderbird
N-able,N-central
NAKIVO,NAKIVO Backup & Replication
NUUO,NVRmini
NUUO,NVRmini 2
National Instruments,Circuit Design Suite
National Instruments,LabVIEW
National Instruments,LabVIEW 2021
National Instruments,LabVIEW 2022
National Instruments,LabVIEW 2023
National Instruments,LabVIEW 2024
National Instruments,NI I/O Trace
National Instruments,NI LabVIEW
NetModule,NetModule
NetScaler,ADC
NetScaler,ADC FIPS
NetScaler,ADC NDcPP
NetScaler,Gateway
NetScaler,NDcPP
NetScaler,NetScalerGateway
NetSupport,NetSupport Manager
Netwrix,auditor
Newtonsoft,Json.NET
Newtonsoft,NuGet Package: Newtonsoft.Json
North Grid Corporation,Proself Enterprise
North Grid Corporation,Proself Gateway
North Grid Corporation,Proself Mail Sanitize
North Grid Corporation,Proself Standard
Notepad++ Team,Notepad++
Nozomi,CMC
Nozomi,Guardian
Nozomi,cmc
ODS,AVEVA Reports
ODS,Dream Report
OFFIS,DCMTK
OPC Foundation,UA Legacy Java
OSGeo,GeoServer
Omnissa,Workspace ONE UEM
Omron,Automation Software Sysmac Studio
Omron,CX-Motion
Omron,CX-Motion Pro
Omron,CX-One
Omron,CX-Programmer
Omron,CX-Server
Omron,CX-Supervisor
Omron,NB-Designer
Omron,Openwnn
Omron,SYSMAC-SE2
Omron,Smart Security Manager
Omron,WorldView
Open Automation Software,OAS
Open Automation Software,Open Automation Software
OpenBSD,OpenSSH
OpenEMR,OpenEMR
OpenPLC,OpenPLC
OpenPLC,ScadaBR
OpenSSL,OpenSSL
OpenSSL,openssl
Optigo Networks,Optigo Capture Tool
Opto 22,groov View Server for Windows
Oracle,Agile PLM Framework
Oracle,Coherence
Oracle,Concurrent Processing
Oracle,FreeType
Oracle,Fusion Middleware
Oracle,HTTP Server
Oracle,Identity Manager
Oracle,Java SE
Oracle,Oracle Configurator
Oracle,Oracle HTTP Server
Oracle,Oracle JDeveloper
Oracle,Oracle Marketing
Oracle,Oracle VM VirtualBox
Oracle,Oracle Web Services Manager
Oracle,Oracle WebLogic
Oracle,Oracle WebLogic Server Proxy Plug-in
Oracle,Product Lifecycle Management
Oracle,Web Services Manager
Oracle,WebLogic
Oracle,WebLogic Server
Oracle,WebLogic Server Proxy Plug-in
Oracle,Weblogic
Oracle,weblogic server
Orthanc,Orthanc
Orthanc,Osimis WebViewer
Ossur,Logic Mobile Application
Output Messenger,Output Messenger
Ovarro,TWinSoft
Owl Labs,Meeting Owl
Oxford Nanopore,MinKNOW
PTC,Codebeamer
PTC,Creo Elements
PTC,FlexPLM
PTC,GE Digital Industrial Gateway Server
PTC,GE Industrial Gateway Server
PTC,Industrial Connectivity
PTC,KEPServerEX
PTC,Kepware Edge
PTC,Kepware Server
PTC,OPC-Aggregator
PTC,Rockwell Automation KEPServer Enterprise
PTC,Software Toolbox TOP Server
PTC,TOP Server
PTC,ThingWorkx Kepware Edge
PTC,ThingWorx Kepware Server
PTC,Windchill PDMLink
PTC,codebeamer
PTC,opc-aggregator
Packet Power,EG
Packet Power,EMX
Paessler,PRTG Network Monitor
Palo Alto Networks,Expedition
Palo Alto Networks,PAN-OS
Palo Alto Networks,Pan-OS
Panoramic Corporation,Digital Imaging Software
PaperCut,MF
PaperCut,PaperCut
PaperCut,PaperCut MF
PaperCut,PaperCut NG
Paragon Software,Paragon Partition Manager
Parsons,AclaraONE Utility Portal
Parsons,Parsons Utility Enterprise Data Management
Pentaho,Pentaho Business Analytics
Pentaho,Pentaho Server
PerFact Innovation,OpenVPN-Client
Pharos Architectural Controls,Mosaic Show Controller
Philips,ACSYS Gateway
Philips,AVW
Philips,Advanced Visualization Workspace
Philips,Advanced Visualization Workspace V15
Philips,Anywhere
Philips,CDE
Philips,Capsule Surveillance
Philips,Cardilogs
Philips,Cardiovascular
Philips,Clinical Collaboration Platform
Philips,Collaboration Live
Philips,Corsium
Philips,Discovery
Philips,Dreammapper
Philips,DynaSuite Neuro
Philips,ECI Event and Device Readiness
Philips,Efficia CM
Philips,Engage
Philips,FocalPoint
Philips,GuardianSoftware
Philips,Illumeo
Philips,IntelliSpace Corsium
Philips,IntelliSpace Discovery
Philips,IntelliSpace ECG Management System
Philips,IntelliSpace ECG Version B
Philips,IntelliSpace Perinatal
Philips,IntelliSpace Portal Client
Philips,IntelliSpace Portal Server
Philips,IntelliSpace Radiology
Philips,IntelliSpace Universal Data Manager
Philips,IntelliVue Guardian Software
Philips,IntelliVue IGS
Philips,IntelliVue Perinatal
Philips,IntelliVue XDS
Philips,Multi-Patient Bridge
Philips,Myvue
Philips,PACS
Philips,PIC iX
Philips,Perinatal
Philips,Philips Device Management Dashboard
Philips,Philips IntelliSpace Portal
Philips,Philips Myvue
Philips,Philips Vue Pacs
Philips,Philips VuePacs
Philips,Pinnacle
Philips,Portal
Philips,Portal Enterprise Concerto
Philips,Portal Server
Philips,Portal Workstation
Philips,Tasy EMR
Philips,TraceMasterVue
Philips,Vi-Pros
Philips,VitalSky
Philips,Vue Motion
Philips,Vue PACS
Philips,Vue Pacs
Philips,Vue Speech
Philips,VueBeyond
Philips,VuePacs
Philips,XDS
Philips,XIRIS
Philips,Xcelera
Philips,e-Whiteboard
Philips,eTriage
Phoenix Contact,PC WORX SRT
Pixmeo,OsiriX MD
Plug and Track,Thermoscan IP
Portwell,Engineering Toolkits
PostgreSQL Global Development Group,PostgreSQL
Powershield,NetGuard
Pro-face,BLUE Open Studio
Pro-face,Pro-face BLUE
ProLeiT,Plant Integrate iT V
ProLeiT,Plant iT V
ProLeiT,Plant iT connect V
ProLeiT,brewmaxx V
Progress,Progress*Telerik*Report Server
Progress,Telerik Reporting
Progress,WS_FTP Server
Progress,WhatsUp Gold
Progress,moveit transfer
Progress,moveit_cloud
